id,date,text,user,hashtags
20,2025-10-18,"Por las elecciones en Bolivia, la Unión Europea despliega 120 observadores en 9 regiones para la segunda vuelta https://elperuano.pe/noticia/281177-elecciones-en-bolivia-ue-despliega-120-observadores-en-9-regiones-para-la-segunda-vuelta","DiarioElPeruano",""
21,2025-10-18,"🟢 Resumen económico: - Milei busca el respaldo de Trump ante las próximas elecciones - Bolivia se enfrenta a una segunda vuelta marcada por la inestabilidad económica  - Escalada en la guerra comercial entre China y EE. UU. #Argentina #Milei #Bolivia #Lifeofashowgirl","dw_espanol","#Argentina, #Milei, #Bolivia, #Lifeofashowgirl"
22,2025-10-18,"El TSJ y el TCP viven una crisis sin precedentes. Magistrados autoprorrogados, elecciones cuestionadas y denuncias cruzadas por usurpación de funciones ponen en jaque la independencia judicial. Más info 👉 https://www.diarioconstitucional.cl/2025/10/17/estallido-en-la-justicia-boliviana-tsj-y-tcp-en-el-ojo-del-huracan-por-pedro-gareca/ #Bolivia #Justicia #TSJ #TCP","DiarioConst","#Bolivia, #Justicia, #TSJ, #TCP"
23,2025-10-18,"Hoy, 2025 es un acto de resistencia hacer campaña contra Evo Morales. Siempre que sea posible, elecciones o no elecciones, campo o ciudad, Bolivia u otro país, siempre se debe decir la verdad sobre Evo Morales.","pabetricia",""
24,2025-10-18,"Elecciones en  Bolivia: segunda vuelta marca el fin de la era MAS en medio de una  profunda crisis económica y escasez de combustible https://radio.uchile.cl/2025/10/18/elecciones-en-bolivia-segunda-vuelta-marca-el-fin-de-la-era-mas-en-medio-de-una-profunda-crisis-economica-y-escasez-de-combustible/","uchileradio",""
25,2025-10-18,"Hola bro!!! Mañana son las elecciones de 2 da vuelta en Bolivia!!! Sería genial echarle el ojo para que todo sea democrático. Gracias","Power_D0g",""
26,2025-10-18,"🇮🇩 SEGUNDA VUELTA ELECTORAL, EN EL ESTADO PLURINACIONAL DE BOLIVIA 🇧🇴 ¿Tienes dudas para ejercer tu voto en la segunda vuelta electoral?.  #TarijaBolivia #EspacioSolicitado #TSE #TED #Elecciones #Virales #Tendencias","ContactoSur7","#TarijaBolivia, #EspacioSolicitado, #TSE, #TED, #Elecciones, #Virales, #Tendencias"
27,2025-10-18,"🗳️ Mañana Bolivia enfrenta una de las elecciones más decisivas de su historia reciente. Desde LIBERA, analizaremos los resultados y su impacto en el futuro del país. 🎙️ Con Juan Pablo Chamon y Jorge Velarde Rosso, tras conocerse los resultados. #Balotaje #Bolivia #LIBERA","LiberaBolivia","#Balotaje, #Bolivia, #LIBERA"
28,2025-10-18,"Elecciones en Bolivia: en balotaje, se define el cambio de rumbo del país https://www.ambito.com/mundo/elecciones-bolivia-balotaje-este-domingo-se-define-el-cambio-rumbo-del-pais-n6203556","Ambitocom",""
29,2025-10-18,"¿A qué hora abren y cierran las mesas de votación del balotaje de las elecciones en Bolivia 2025 este domingo 19 de octubre? https://elcomercio.pe/mag/usa/en-vivo-us/a-que-hora-abren-y-cierran-las-mesas-de-votacion-del-balotaje-de-las-elecciones-en-bolivia-hoy-19-de-octubre-2025-segun-tse-nnda-nnrt-noticia/","Mag_ECpe",""
30,2025-10-18,"Preséntate a las elecciones en Bolivia, Bufallo Bill de hacendado, que creo que te va a ir mejor que aquí.","merogos_",""
31,2025-10-18,"#Bolivia | No se olviden que en estas elecciones, no solo peleamos contra el MAS y su continuidad, sino contra un cartel internacional de narcotráfico. Eso es más peligroso, pero juntos lo logramos. Seamos #libres de elegir | #EleccionesBol2025 |","HopeArt_IA","#Bolivia, #libres, #EleccionesBol2025"
32,2025-10-18,"Elecciones generales de Bolivia de 2025 Bolivian presidential election, runoff ¿Quién será el próximo presidente? Por el momento, Rodrigo Paz Pereira lidera nuestro mercado de predicción. #EleccionPresidencial #Elecciones2025  Elige #EleccionesBolivia2025 #boliviavota2025 ¡Participa también en nuestra encuesta en X!   https://t.co/I3cU9PaYHg https://t.co/vuDBjwT7zk","Wahlfieber","#EleccionPresidencial, #Elecciones2025, #EleccionesBolivia2025, #boliviavota2025"
33,2025-10-18,"Elecciones 🇪🇺🇧🇴 | La Paz, 18 oct (EFE).- La misión electoral de la Unión Europea (UE) anunció que desplegará 120 observadores en las nueve regiones de Bolivia durante la inédita segunda vuelta electoral que se efectuará el domingo y resaltó la importancia de que las dos candidaturas presidenciales acepten los resultados de los comicios. ▶️El representante de la UE, Davor Ivo Stier, dijo a los medios que el organismo europeo hará \"una observación imparcial (y) neutral\" en la jornada de votación y que el próximo martes presentará públicamente su \"informe preliminar\" con algunas recomendaciones con algunas recomendaciones.","PanAmPost_es",""
34,2025-10-18,"Elecciones presidenciales de Bolivia 2025: vea quién lidera los comicios, según las últimas encuestas https://www.nacion.com/el-mundo/elecciones-presidenciales-de-bolivia-2025-vea/HCXVRGRSPBAFLBEZ4BLNLHLSRI/story/?utm_source=Twitter&utm_medium=SocialFlow","nacion",""
