id,date,text,user,hashtags
28,2025-10-19,"#Urgente ¡RODRIGO PAZ PEREIRA GANA LAS ELECCIONES PRESIDENCIALES DE BOLIVIA! Rodrigo Paz gana la segunda vuelta y es electo presidente de Bolivia, tras imponerse a Tuto Quiroga en un balotaje histórico que marca una nueva etapa política en el país. #ElDato #Bolivia #EleccionesB #RodrigoPaz","ElDatoEcua","#Urgente, #ElDato, #Bolivia, #EleccionesB, #RodrigoPaz"
29,2025-10-19,"Me pasaron esta imagen de los resultados electorales en #Bolivia 🇧🇴 donde Rodrigo Paz estaría ganando las elecciones sobre Tuto Quiroga.","gustav0cardenas","#Bolivia"
30,2025-10-19,"Quien ganará estas elecciones #Bolivia #SegundaVuelta Que opinas tu","davillanoc","#Bolivia, #SegundaVuelta"
31,2025-10-19,"Especiales Ágora: Elecciones en Bolivia 2025, Segunda Vuelta. https://www.youtube.com/live/tBqCbV2V0OE?si=nhvnGVkqzi18UF2d a través de @YouTube","KaiserlicheLowe",""
32,2025-10-19,"@grok, ¿Que sabes de las elecciones en Bolivia, quien va ganando?","Liccien1989",""
33,2025-10-19,"Resultados de las elecciones en Bolivia, en vivo | Inicia el conteo de votos para decidir el próximo presidente entre Rodrigo Paz y Tuto Quiroga https://elpais.com/america/2025-10-19/elecciones-en-bolivia-en-vivo-la-segunda-vuelta-de-las-presidenciales.html?ssm=TW_CC vía @elpaismexico","AdolfoToledo_",""
34,2025-10-19,"🔴 Elecciones Bolivia. ✔️ Para seguir en vivo el computo de votos http://computo.oep.org.bo","LaBrownAR",""
35,2025-10-19,"En nada estamos en vivo en Youtube para hablar de la canonización de José Gregorio y de las elecciones en Bolivia: https://www.youtube.com/watch?v=6g2aPFJ-j34","Neoadolfo",""
36,2025-10-19,"#19Oct #Bolivia #Elecciones @javiernegre10: En Bolivia los sondeos que me llegan de boca de urna sitúan a @tutoquiroga por delante de Rodrigo Paz, pero todo puede pasar. El margen de error es muy alto pues estas encuestas no suelen recoger bien el voto en zonas cocaleras dominadas por Evo como El Chapare o rurales. Ahí están a ciegas. En la primera vuelta a estas horas se daba por hecha la victoria de Tuto, pero las encuestas no habían detectado la fuerza de Paz en esas zonas invisibles en su justa medida. Mucha prudencia y nerviosismo en los equipos. Puede caer de cualquier lado todavía, aunque en el exterior ha arrasaso Tuto.","ReporteYa","#19Oct, #Bolivia, #Elecciones"
37,2025-10-19,"Elecciones en Bolivia: Paz y Quiroga esperan a ver quién gana en la segunda vuelta https://apnews.com/live/en-vivo-bolivia-elecciones-paz-quiroga?utm_source=twitter&utm_medium=share Vía @AP_Noticias","Juan_Zamorano",""
